Scenario,Machine_Learing_Algorithms,Test_MAE,Test_MSE,Test_RMSE,Test_R2
CIre_CV_16Env,SVR,2.774508495,9.199283834,3.033032119,0.101264033
CIre_CV_16Env,XGBoost,1.58576409,3.074005563,1.753284222,0.699681039
EVI2_CV_16Env,CatBoost,2.241314358,7.318450528,2.705263486,0.285014482
EVI2_CV_16Env,Decision_Tree ,3.522222222,19.17888889,4.379370833,-0.873706429
EVI2_CV_16Env,ElasticNet,2.700112172,9.207291632,3.03435193,0.1004817
EVI2_CV_16Env,Gradient_Boosting ,1.955908907,6.116865446,2.47322976,0.402404895
EVI2_CV_16Env,Huber ,5.344153919,38.58451837,6.211643774,-2.769564574
EVI2_CV_16Env,KNN,2.995555556,11.11555556,3.333999933,-0.085948619
EVI2_CV_16Env,Lasso,2.757271717,9.528720075,3.086862497,0.069079332
EVI2_CV_16Env,Linear ,4.016910898,21.85562443,4.674999939,-1.135213579
EVI2_CV_16Env,M-estimators,5.344153919,38.58451837,6.211643774,-2.769564574
EVI2_CV_16Env,Passive_Aggressive ,4.021028851,19.55053281,4.421598445,-0.910014663
EVI2_CV_16Env,RF ,1.958777778,6.146665444,2.479246951,0.399493546
EVI2_CV_16Env,Ridge,2.64445805,9.43855805,3.072223633,0.077887828
EVI2_CV_16Env,SVR,2.777645459,9.208895463,3.034616197,0.100325012
EVI2_CV_16Env,XGBoost,1.523589701,4.201099074,2.049658282,0.589568176
NDRE_CV_16Env,CatBoost,2.097405817,6.584907836,2.566107526,0.356678887
NDRE_CV_16Env,Decision_Tree ,2.544444444,10.50111111,3.240541793,-0.025919672
NDRE_CV_16Env,ElasticNet,2.680506339,9.056692313,3.009433886,0.115194696
NDRE_CV_16Env,Gradient_Boosting ,1.807369786,5.981059746,2.445620524,0.41567261
NDRE_CV_16Env,Huber ,5.131545687,37.25237945,6.103472737,-2.639419534
NDRE_CV_16Env,KNN,2.884444444,10.14666667,3.185383284,0.008708238
NDRE_CV_16Env,Lasso,2.748628654,9.427452636,3.070415711,0.078972786
NDRE_CV_16Env,Linear ,3.83189445,19.91027737,4.462093384,-0.945160375
NDRE_CV_16Env,M-estimators,5.131545687,37.25237945,6.103472737,-2.639419534
NDRE_CV_16Env,Passive_Aggressive ,3.069942266,10.59530314,3.255042725,-0.035121884
NDRE_CV_16Env,RF ,2.040444444,6.306177111,2.511210288,0.383909847
NDRE_CV_16Env,Ridge,2.57133799,8.718155993,2.952652366,0.148268441
NDRE_CV_16Env,SVR,2.777677277,9.205244151,3.034014527,0.100681732
NDRE_CV_16Env,XGBoost,1.990223551,4.788789753,2.188330357,0.532152973
NDVI_CV_16Env,CatBoost,2.176091065,6.975800978,2.641174167,0.318490075
NDVI_CV_16Env,Decision_Tree ,3.966666667,21.30111111,4.615312678,-1.081039682
NDVI_CV_16Env,ElasticNet,2.717654395,9.321258381,3.053073596,0.089347571
