Scenario,Machine_Learing_Algorithms,Train_MAE,Test_MAE,Train_MSE,Test_MSE,Train_RMSE,Test_RMSE,Train_R2,Test_R2
EVI2_CD_6FE,ElasticNet,1.775064202,2.55144497,4.708513551,8.488235499,2.169910955,2.913457654,0.514530622,0.170730822
EVI2_CD_6FE,Gradient_Boosting ,0.070701718,1.674072853,0.008016323,3.602317601,0.089533923,1.897977239,0.99917348,0.648066909
EVI2_CD_6FE,Huber ,1.21044896,2.139733594,1.981274876,7.774746099,1.407577663,2.78832317,0.795721459,0.240436095
EVI2_CD_6FE,KNN,2.008888889,2.615555556,6.168533333,10.17248889,2.483653223,3.189433945,0.363995876,0.006185502
EVI2_CD_6FE,Lasso,1.736724177,2.559644657,4.438051052,8.5684135,2.106668235,2.927185252,0.542416549,0.162897728
EVI2_CD_6FE,Linear ,1.237283716,2.135948576,1.958328191,7.556354152,1.399402798,2.748882346,0.798087367,0.261772179
EVI2_CD_6FE,M-estimators,1.21044896,2.139733594,1.981274876,7.774746099,1.407577663,2.78832317,0.795721459,0.240436095
EVI2_CD_6FE,Passive_Aggressive ,1.556273225,3.1002623,3.458037551,13.45638462,1.859579939,3.668294511,0.643460443,-0.314638951
EVI2_CD_6FE,RF ,0.641527778,1.901888889,0.638895417,4.571793,0.799309337,2.138175157,0.934126948,0.553352752
EVI2_CD_6FE,Ridge,1.266885766,2.170792028,2.110370101,8.284326865,1.452711293,2.878250661,0.782411148,0.190651941
EVI2_CD_6FE,SVR,1.538622969,2.534823039,5.424226322,8.755599476,2.328996849,2.958986224,0.440737348,0.144610352
EVI2_CD_6FE,XGBoost,0.000677933,1.388127295,7.98E-07,2.81329684,0.000893122,1.677288538,0.999999918,0.725151316
NDRE_CD_6FE,CatBoost,0.027933594,1.645432694,0.001163159,3.838174791,0.034105121,1.959126027,0.999880073,0.625024535
NDRE_CD_6FE,Decision_Tree ,0,1.777777778,0,4.871111111,0,2.207059381,1,0.524110481
NDRE_CD_6FE,ElasticNet,1.747346949,2.453303775,4.387874401,7.601602821,2.094725376,2.757100437,0.547589992,0.257351552
NDRE_CD_6FE,Gradient_Boosting ,0.051597462,1.442033903,0.004414446,2.885634909,0.066441298,1.698715665,0.99954485,0.718084154
NDRE_CD_6FE,Huber ,1.116226577,1.675938363,1.770309554,4.314647371,1.330529802,2.077172928,0.817472952,0.578474928
NDRE_CD_6FE,KNN,1.897222222,2.615555556,5.671877778,9.415688889,2.381570444,3.068499452,0.415203345,0.08012206
NDRE_CD_6FE,Lasso,1.703149622,2.491172639,4.125423677,7.705998862,2.031113901,2.775968094,0.574649867,0.247152445
NDRE_CD_6FE,Linear ,1.161029596,1.58129071,1.737291693,3.77265937,1.318063615,1.942333486,0.820877246,0.631425149
NDRE_CD_6FE,M-estimators,1.116226577,1.675938363,1.770309554,4.314647371,1.330529802,2.077172928,0.817472952,0.578474928
NDRE_CD_6FE,Passive_Aggressive ,1.622112724,2.729590505,4.761911415,11.42269667,2.182180427,3.379748018,0.509025057,-0.115955168
NDRE_CD_6FE,RF ,0.585555556,1.700333333,0.560114389,3.872249,0.748407903,1.96780309,0.942249633,0.621695611
NDRE_CD_6FE,Ridge,1.217722059,1.70375019,1.928114,4.822090029,1.388565447,2.195925779,0.801202589,0.528899659
NDRE_CD_6FE,SVR,1.591791232,2.407263515,5.501071548,7.420298321,2.345436324,2.724022452,0.432814252,0.27506433
NDRE_CD_6FE,XGBoost,0.000579434,1.456316519,5.76E-07,2.694711372,0.000758739,1.641557606,0.999999941,0.736736677
NDVI_CD_6FE,CatBoost,0.019084224,2.173455018,0.000540272,6.857113497,0.023243758,2.618609077,0.999944295,0.330085402
NDVI_CD_6FE,Decision_Tree ,0,2.077777778,0,5.285555556,0,2.299033613,1,0.483620794
NDVI_CD_6FE,ElasticNet,1.802360041,2.570141496,4.920141023,8.586599037,2.21813909,2.930289924,0.492710858,0.161121069
NDVI_CD_6FE,Gradient_Boosting ,0.048624664,1.78607265,0.003818255,3.693834436,0.061792027,1.921935076,0.99960632,0.639126053
NDVI_CD_6FE,Huber ,1.255938241,2.179802559,2.116961829,8.228398461,1.454978292,2.868518513,0.78173151,0.196115939
NDVI_CD_6FE,KNN,1.97,2.575555556,6.296711111,9.757022222,2.509324832,3.123623252,0.350780158,0.046775057
NDVI_CD_6FE,Lasso,1.769703942,2.578882709,4.695884865,8.675271582,2.166999046,2.945381398,0.515832698,0.152458089
NDVI_CD_6FE,Linear ,1.275785968,2.215785751,2.084553142,8.344760134,1.443798165,2.888729848,0.785072995,0.184747834
NDVI_CD_6FE,M-estimators,1.255938241,2.179802559,2.116961829,8.228398461,1.454978292,2.868518513,0.78173151,0.196115939
NDVI_CD_6FE,Passive_Aggressive ,1.766164304,2.608514152,4.660484032,12.32546945,2.158815423,3.510764796,0.519482687,-0.204152727
NDVI_CD_6FE,RF ,0.667194444,1.985,0.727091806,4.951790778,0.852696784,2.225261957,0.925033495,0.516228377
NDVI_CD_6FE,Ridge,1.314090193,2.213221854,2.248936797,9.036355727,1.499645557,3.006053181,0.768124285,0.117181505
NDVI_CD_6FE,SVR,1.55342175,2.602874792,5.479647277,9.118661674,2.340864643,3.019712184,0.435023193,0.109140519
NDVI_CD_6FE,XGBoost,0.000593779,1.652562586,6.24E-07,3.56542378,0.000790023,1.888232978,0.999999936,0.651671299
CIgr_CV,CatBoost,0.499000167,2.543264329,0.352955348,7.401950022,0.594100452,2.720652499,0.963608682,0.276856891
CIgr_CV,Decision_Tree ,0,2.622222222,0,8.166666667,0,2.857738033,1,0.202146906
CIgr_CV,ElasticNet,2.107520802,2.768605923,6.400993979,9.544443059,2.530018573,3.089408205,0.340028115,0.067543254
